id,codice,titolo_it,titolo_en,livello,codice_padre,livello_padre,ordine,created_at,updated_at
1,A,"AGRICOLTURA, SILVICOLTURA E PESCA","AGRICULTURE, FORESTRY AND FISHING",1,,,1,2026-01-30 14:17:49,2026-01-30 14:17:49
2,01,"Produzioni vegetali e animali, caccia e servizi connessi","Crop and animal production, hunting and related service activities",2,A,1,2,2026-01-30 14:17:49,2026-01-30 14:17:49
3,01.1,Coltivazione di colture agricole non permanenti,Growing of non-perennial crops,3,01,2,3,2026-01-30 14:17:49,2026-01-30 14:17:49
4,01.11,"Coltivazione di cereali, legumi da granella e semi oleosi, escluso il riso","Growing of cereals, other than rice, leguminous crops and oil seeds",4,01.1,3,4,2026-01-30 14:17:49,2026-01-30 14:17:49
5,01.11.0,"Coltivazione di cereali, legumi da granella e semi oleosi, escluso il riso","Growing of cereals, other than rice, leguminous crops and oil seeds",5,01.11,4,5,2026-01-30 14:17:49,2026-01-30 14:17:49
6,01.11.00,"Coltivazione di cereali, legumi da granella e semi oleosi, escluso il riso","Growing of cereals, other than rice, leguminous crops and oil seeds",6,01.11.0,5,6,2026-01-30 14:17:49,2026-01-30 14:17:49
7,01.12,Coltivazione di riso,Growing of rice,4,01.1,3,7,2026-01-30 14:17:49,2026-01-30 14:17:49
8,01.12.0,Coltivazione di riso,Growing of rice,5,01.12,4,8,2026-01-30 14:17:49,2026-01-30 14:17:49
9,01.12.00,Coltivazione di riso,Growing of rice,6,01.12.0,5,9,2026-01-30 14:17:49,2026-01-30 14:17:49
10,01.13,"Coltivazione di ortaggi e meloni, radici e tuberi","Growing of vegetables and melons, roots and tubers",4,01.1,3,10,2026-01-30 14:17:49,2026-01-30 14:17:49
11,01.13.1,Coltivazione di ortaggi e meloni,Growing of vegetables and melons,5,01.13,4,11,2026-01-30 14:17:49,2026-01-30 14:17:49
12,01.13.11,Coltivazione di ortaggi e meloni in piena aria,Growing of vegetables and melons in open fields,6,01.13.1,5,12,2026-01-30 14:17:49,2026-01-30 14:17:49
13,01.13.12,Coltivazione di ortaggi e meloni in colture protette fuori suolo,Growing of vegetables and melons in greenhouses as soil-less culture,6,01.13.1,5,13,2026-01-30 14:17:49,2026-01-30 14:17:49
14,01.13.13,"Coltivazione di ortaggi e meloni in altre colture protette, escluse colture fuori suolo","Growing of vegetables and melons in greenhouses, other than soil-less culture",6,01.13.1,5,14,2026-01-30 14:17:49,2026-01-30 14:17:49
15,01.13.2,"Coltivazione di radici, incluse barbabietole da zucchero","Growing of roots, including sugar beet",5,01.13,4,15,2026-01-30 14:17:49,2026-01-30 14:17:49
16,01.13.20,"Coltivazione di radici, incluse barbabietole da zucchero","Growing of roots, including sugar beet",6,01.13.2,5,16,2026-01-30 14:17:49,2026-01-30 14:17:49
17,01.13.3,"Coltivazione di tuberi, incluse patate","Growing of tubers, including potatoes",5,01.13,4,17,2026-01-30 14:17:49,2026-01-30 14:17:49
18,01.13.30,"Coltivazione di tuberi, incluse patate","Growing of tubers, including potatoes",6,01.13.3,5,18,2026-01-30 14:17:49,2026-01-30 14:17:49
19,01.14,Coltivazione di canna da zucchero,Growing of sugar cane,4,01.1,3,19,2026-01-30 14:17:49,2026-01-30 14:17:49
20,01.14.0,Coltivazione di canna da zucchero,Growing of sugar cane,5,01.14,4,20,2026-01-30 14:17:49,2026-01-30 14:17:49
21,01.14.00,Coltivazione di canna da zucchero,Growing of sugar cane,6,01.14.0,5,21,2026-01-30 14:17:49,2026-01-30 14:17:49
22,01.15,Coltivazione di tabacco,Growing of tobacco,4,01.1,3,22,2026-01-30 14:17:49,2026-01-30 14:17:49
23,01.15.0,Coltivazione di tabacco,Growing of tobacco,5,01.15,4,23,2026-01-30 14:17:49,2026-01-30 14:17:49
24,01.15.00,Coltivazione di tabacco,Growing of tobacco,6,01.15.0,5,24,2026-01-30 14:17:49,2026-01-30 14:17:49
25,01.16,Coltivazione di piante tessili,Growing of fibre crops,4,01.1,3,25,2026-01-30 14:17:49,2026-01-30 14:17:49
26,01.16.0,Coltivazione di piante tessili,Growing of fibre crops,5,01.16,4,26,2026-01-30 14:17:49,2026-01-30 14:17:49
27,01.16.00,Coltivazione di piante tessili,Growing of fibre crops,6,01.16.0,5,27,2026-01-30 14:17:49,2026-01-30 14:17:49
28,01.19,Coltivazione di altre colture agricole non permanenti,Growing of other non-perennial crops,4,01.1,3,28,2026-01-30 14:17:49,2026-01-30 14:17:49
29,01.19.1,Coltivazione di fiori,Growing of flowers,5,01.19,4,29,2026-01-30 14:17:49,2026-01-30 14:17:49
30,01.19.11,Coltivazione di fiori in piena aria,Growing of flowers in open fields,6,01.19.1,5,30,2026-01-30 14:17:49,2026-01-30 14:17:49
31,01.19.12,Coltivazione di fiori in colture protette fuori suolo,Growing of flowers in greenhouses as soil-less culture,6,01.19.1,5,31,2026-01-30 14:17:49,2026-01-30 14:17:49
32,01.19.13,"Coltivazione di fiori in altre colture protette, escluse colture fuori suolo","Growing of flowers in greenhouses, other than soil-less culture",6,01.19.1,5,32,2026-01-30 14:17:49,2026-01-30 14:17:49
33,01.19.9,Coltivazione di piante da foraggio e di altre colture agricole non permanenti n.c.a.,Growing of crops for fodder and of other non-perennial crops n.e.c.,5,01.19,4,33,2026-01-30 14:17:49,2026-01-30 14:17:49
34,01.19.90,Coltivazione di piante da foraggio e di altre colture agricole non permanenti n.c.a.,Growing of crops for fodder and of other non-perennial crops n.e.c.,6,01.19.9,5,34,2026-01-30 14:17:49,2026-01-30 14:17:49
35,01.2,Coltivazione di colture agricole permanenti,Growing of perennial crops,3,01,2,35,2026-01-30 14:17:49,2026-01-30 14:17:49
36,01.21,Coltivazione di uva,Growing of grapes,4,01.2,3,36,2026-01-30 14:17:49,2026-01-30 14:17:49
37,01.21.0,Coltivazione di uva,Growing of grapes,5,01.21,4,37,2026-01-30 14:17:49,2026-01-30 14:17:49
38,01.21.00,Coltivazione di uva,Growing of grapes,6,01.21.0,5,38,2026-01-30 14:17:49,2026-01-30 14:17:49
39,01.22,Coltivazione di frutta di origine tropicale e subtropicale,Growing of tropical and subtropical fruits,4,01.2,3,39,2026-01-30 14:17:49,2026-01-30 14:17:49
40,01.22.0,Coltivazione di frutta di origine tropicale e subtropicale,Growing of tropical and subtropical fruits,5,01.22,4,40,2026-01-30 14:17:49,2026-01-30 14:17:49
